City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,oussouye,12.485,-16.5469,22.05,65,7,5.07,SN,1681249630
239,alofi,-19.0595,-169.9187,27.94,69,75,6.17,NU,1681249358
240,falmouth,50.1544,-5.0711,8.7,80,84,1.34,GB,1681249631
241,buloh kasap,2.5536,102.764,23.27,97,65,1.11,MY,1681249631
242,kununurra,-15.7667,128.7333,24.99,94,100,3.09,AU,1681249631
243,orlik,52.5178,99.825,-8.57,92,94,2.24,RU,1681249631
244,homer,59.6425,-151.5483,2.22,59,100,0.89,US,1681249632
245,puri,19.8,85.85,27.29,81,0,3.52,IN,1681249632
246,souillac,-20.5167,57.5167,25.21,94,75,1.54,MU,1681249355
247,bokaa,-24.45,26.0167,12.27,94,0,1.03,BW,1681249632
248,qui nhon,13.7667,109.2333,24.34,89,13,1.55,VN,1681249472
249,lorengau,-2.0226,147.2712,26.74,83,91,2.53,PG,1681249633
250,pevek,69.7008,170.3133,-26.7,97,95,2.1,RU,1681249360
251,buala,-8.145,159.5921,28.29,71,98,1.05,SB,1681249633
252,kahama,-3.8333,32.6,17.9,90,54,1.39,TZ,1681249633
253,esperance,-33.8667,121.9,15.72,87,2,4.51,AU,1681249346
254,longford,53.7333,-7.8,2.36,84,89,7.19,IE,1681249634
255,enid,36.3956,-97.8784,25.4,40,0,8.75,US,1681249634
256,petatlan,17.5167,-101.2667,32.89,35,3,3.64,MX,1681249634
257,hami,42.8,93.45,12.57,26,100,4.72,CN,1681249391
258,opuwo,-18.0607,13.84,20.52,38,19,1.79,NA,1681249635
259,el alto,-4.2714,-81.2147,27.81,72,89,4.13,PE,1681249635
260,yulara,-25.2406,130.9889,22.63,57,100,3.28,AU,1681249635
261,namibe,-15.1961,12.1522,23.81,63,2,3.56,AO,1681249635
262,nantucket,41.2835,-70.0995,9.89,77,0,9.26,US,1681249636
263,mujiayingzi,42.1167,118.7833,2.43,19,0,4.75,CN,1681249636
264,benghazi,32.1167,20.0667,15.62,66,2,8.83,LY,1681249636
265,sechura,-5.5569,-80.8222,28.83,69,100,5.78,PE,1681249636
266,puksoozero,62.5903,40.6066,0.8,99,100,2.21,RU,1681249637
267,roma,43.2128,-75.4557,21.08,28,40,6.69,US,1681249637
268,san pedro,14.35,121.0167,25.21,83,40,0.51,PH,1681249624
269,guajara,-2.9667,-57.6667,24.82,94,98,1.66,BR,1681249637
270,boden,65.8252,21.6886,-2.0,100,100,0.43,SE,1681249638
271,carauari,-4.8828,-66.8958,26.62,87,66,0.89,BR,1681249638
272,birjand,32.8663,59.2211,18.26,19,0,6.17,IR,1681249638
273,huarmey,-10.0681,-78.1522,26.42,76,30,4.67,PE,1681249639
274,carballo,43.213,-8.691,12.95,82,80,4.96,ES,1681249639
275,visconde do rio branco,-21.0103,-42.8406,20.53,87,72,1.79,BR,1681249446
276,bengkulu,-3.8004,102.2655,24.15,88,98,1.44,ID,1681249639
277,saint pete beach,27.7253,-82.7412,26.23,48,0,9.77,US,1681249640
278,grafton,42.207,-71.6856,22.07,16,0,8.23,US,1681249640
279,saveh,35.0213,50.3566,19.98,32,62,1.56,IR,1681249640
280,kampot,10.6167,104.1833,26.03,84,77,1.83,KH,1681249641
281,nola,40.922,14.5329,13.04,88,97,1.3,IT,1681249641
282,talcahuano,-36.7167,-73.1167,18.82,72,20,2.57,CL,1681249373
283,bereda,43.2686,-7.5406,10.08,85,87,3.44,ES,1681249641
284,asau,46.4333,26.4,6.51,96,100,2.63,RO,1681249641
285,jaciara,-15.9653,-54.9683,23.09,86,93,0.97,BR,1681249642
286,oksfjord,70.2396,22.3479,3.1,83,10,4.24,NO,1681249642
287,gemena,3.25,19.7667,21.2,95,100,0.45,CD,1681249642
288,thompson,55.7435,-97.8558,11.09,28,100,2.06,CA,1681249089
289,eregli,37.5133,34.0467,8.91,46,99,1.49,TR,1681249643
290,pangody,65.85,74.4859,-26.24,100,69,2.94,RU,1681249432
291,dedougou,12.4667,-3.4667,32.92,19,37,3.41,BF,1681249643
292,pokrovsk,48.282,37.1758,13.02,57,100,7.88,UA,1681249643
293,port hardy,50.6996,-127.4199,7.1,65,75,4.12,CA,1681249643
294,fos-sur-mer,43.4377,4.9446,13.67,77,0,1.03,FR,1681249644
295,high level,58.5169,-117.136,8.06,27,20,4.12,CA,1681249644
296,saint-pierre,-21.3393,55.4781,23.81,83,0,2.06,RE,1681249644
297,dengzhou,37.8086,120.7508,7.49,43,0,3.4,CN,1681249644
298,half moon bay,37.4636,-122.4286,15.58,63,0,11.83,US,1681249457
299,livingstonia,-10.606,34.1063,18.27,88,80,0.83,MW,1681249645
300,kamenka,51.3223,42.7678,7.97,50,74,4.04,RU,1681249645
301,salinopolis,-0.6136,-47.3561,26.22,82,80,1.33,BR,1681249645
302,caravelas,-17.7125,-39.2481,23.1,94,100,3.01,BR,1681249645
303,harper,4.375,-7.7169,26.54,86,98,2.86,LR,1681249646
304,necochea,-38.5473,-58.7368,17.32,91,100,4.37,AR,1681249599
305,lagoa,39.05,-27.9833,14.34,81,93,4.83,PT,1681249646
306,mildura,-34.2,142.15,15.6,87,0,8.17,AU,1681249646
307,san patricio,28.017,-97.5169,25.15,43,26,5.29,US,1681249479
308,bose,45.4612,8.0137,11.77,73,73,2.69,IT,1681249647
309,cidreira,-30.1811,-50.2056,23.2,86,31,6.28,BR,1681249647
310,northam,51.0333,-4.2167,6.78,86,57,10.25,GB,1681249647
311,genhe,50.7833,121.5167,-6.46,77,100,4.96,CN,1681249647
312,jalu,29.0331,21.5482,14.58,64,1,7.69,LY,1681249419
313,vardo,70.3705,31.1107,0.99,69,100,7.2,NO,1681249648
314,elizabeth city,36.2946,-76.2511,19.94,40,0,5.66,US,1681249393
315,martapura,-3.4167,114.85,25.05,94,40,1.03,ID,1681249240
316,geraldton,-28.7667,114.6,12.23,94,0,2.06,AU,1681249648
317,srednekolymsk,67.45,153.6833,-21.48,96,99,1.47,RU,1681249443
318,am timan,11.0297,20.2827,32.49,22,100,1.63,TD,1681249649
319,adre,13.4667,22.2,28.81,15,99,3.16,TD,1681249649
320,kargasok,59.0556,80.8572,-13.15,98,59,2.27,RU,1681249649
321,yuzhno-sukhokumsk,44.6581,45.6436,12.77,65,100,7.03,RU,1681249649
322,pec,42.6591,20.2883,6.58,75,99,2.28,XK,1681249650
323,comodoro rivadavia,-45.8667,-67.5,11.92,35,0,2.57,AR,1681249650
324,jatai,-17.8814,-51.7144,21.28,86,72,0.74,BR,1681249650
325,hamilton,39.1834,-84.5333,23.43,26,0,4.12,US,1681249061
326,urubicha,-15.3833,-62.95,24.72,88,100,0.99,BO,1681249651
327,sambava,-14.2667,50.1667,23.34,92,60,1.82,MG,1681249651
328,sabha,27.0377,14.4283,16.59,22,8,5.83,LY,1681249651
329,aleksandrovsk-sakhalinskiy,50.8975,142.1561,2.28,92,100,4.58,RU,1681249651
330,kendari,-3.945,122.4989,24.55,92,84,0.76,ID,1681249651
331,balkanabat,39.5108,54.3671,24.9,25,100,4.54,TM,1681249366
332,ledyard,41.4398,-72.0142,16.85,38,0,5.66,US,1681249652
333,chau doc,10.7,105.1167,26.9,79,90,2.11,VN,1681249652
334,kloulklubed,7.0419,134.2556,28.09,77,97,4.16,PW,1681249652
335,banda aceh,5.5577,95.3222,26.25,78,91,0.78,ID,1681249652
336,itaituba,-4.2761,-55.9836,31.09,70,40,2.57,BR,1681249653
337,roald,62.5833,6.1333,6.6,87,0,2.06,NO,1681249448
338,lasa,46.6166,10.7002,7.49,86,88,1.41,IT,1681249653
339,hadrut,39.52,47.0318,12.97,64,72,1.2,AZ,1681249653
340,cuamba,-14.8031,36.5372,19.39,97,68,1.16,MZ,1681249654
341,ilulissat,69.2167,-51.1,7.01,42,20,9.26,GL,1681249654
342,redmond,47.674,-122.1215,10.48,61,85,5.36,US,1681249502
343,zhuhai,22.2769,113.5678,21.92,94,20,0.51,CN,1681249655
344,bandar-e lengeh,26.5579,54.8807,24.06,46,24,0.0,IR,1681249655
345,aklavik,68.2191,-135.0107,-15.0,66,75,1.03,CA,1681249655
346,cururupu,-1.8283,-44.8683,24.11,91,67,1.5,BR,1681249656
347,gimli,50.6336,-96.9907,5.01,75,71,1.03,CA,1681249254
348,manama,26.2154,50.5832,25.25,67,0,4.12,BH,1681249656
349,oyotun,-6.8519,-79.3036,26.56,83,100,1.74,PE,1681249656
350,longyearbyen,78.2186,15.6401,-2.09,80,75,0.51,SJ,1681249657
351,saint-louis,16.3333,-15.0,27.8,39,100,4.81,SN,1681249593
352,inuvik,68.3499,-133.7218,-14.55,66,75,2.06,CA,1681249657
353,sosua,19.7667,-70.5167,27.95,78,75,5.14,DO,1681249657
354,trelew,-43.249,-65.3051,11.44,63,74,7.43,AR,1681249658
355,santiago del estero,-27.7951,-64.2615,27.18,54,6,3.84,AR,1681249501
356,eseka,3.65,10.7667,22.81,97,100,0.4,CM,1681249658
357,galesong,-5.3166,119.3661,25.01,82,36,3.05,ID,1681249658
358,kurilsk,45.2333,147.8833,8.16,71,99,6.42,RU,1681249658
359,visnes,59.3556,5.2242,6.04,93,100,2.06,NO,1681249659
360,wajir,1.7471,40.0573,28.18,60,94,5.55,KE,1681249432
361,mount gambier,-37.8333,140.7667,15.27,88,99,5.68,AU,1681249659
362,witbank,-25.8713,29.2332,10.16,39,0,2.75,ZA,1681249659
363,tiznit,29.5833,-9.5,22.72,19,0,0.94,MA,1681249659
364,mazatlan,23.2167,-106.4167,27.17,58,40,5.66,MX,1681249660
365,soyo,-6.1349,12.3689,27.21,82,100,2.19,AO,1681249660
366,langcangan,8.4794,123.7558,22.91,86,51,1.42,PH,1681249660
367,olafsvik,64.8945,-23.7142,3.92,93,100,4.42,IS,1681249661
368,carnarvon,-24.8667,113.6333,20.81,61,65,8.66,AU,1681249661
